video_id,video_title,author,comment,likes,date
tUhLTksi-BA,내가 발이 될 상인가 #런닝맨,@nana_ooo_9,7:10 지석진이 지예은 혹시라도 꿍할까봐 ㅋㅋ ㅋ ㅋ ㅋㅋ 5개월 연하인거 알려주는게 너무 귀엽다,47,2026-05-19T00:16:14Z
tUhLTksi-BA,내가 발이 될 상인가 #런닝맨,@jameshur3458,지예은 기독교인 이니까 이언것 잘 믿지 않아. 맞는말 하네,1,2026-05-18T23:10:14Z
tUhLTksi-BA,내가 발이 될 상인가 #런닝맨,@MelisaTurpcu-d2s,Why no Eng Sub? 😢,0,2026-05-18T22:18:19Z
tUhLTksi-BA,내가 발이 될 상인가 #런닝맨,@머가더마시찌,전소민 재합류 기원 1일차,2,2026-05-18T20:20:57Z
tUhLTksi-BA,내가 발이 될 상인가 #런닝맨,@삼오오삼,런닝맨 채널 쇼츠 다 어디감????ㅠㅜㅠ,3,2026-05-18T17:24:23Z
tUhLTksi-BA,내가 발이 될 상인가 #런닝맨,@HAPPYJG,거짓말. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4,2026-05-18T16:51:15Z
tUhLTksi-BA,내가 발이 될 상인가 #런닝맨,@vjdielsnvf,"미신 귀신놀이하는 사주관상에
이젠 족상?? 족같은 소리하네",0,2026-05-18T16:29:41Z
tUhLTksi-BA,내가 발이 될 상인가 #런닝맨,@짱구-x1v,저분 타프로그램에서 다 틀리는거 나왔는데… 굳이 왜…,0,2026-05-18T16:25:57Z
tUhLTksi-BA,내가 발이 될 상인가 #런닝맨,@Ariel319,지예은은 연하보단 동갑이나 연상이 더 잘 맞을거 같은데......,0,2026-05-18T16:14:48Z
tUhLTksi-BA,내가 발이 될 상인가 #런닝맨,@Cosrxt,석삼이 시술 모했어요? 잘생겨졌어…. 젊어지고,1,2026-05-18T16:13:45Z
tUhLTksi-BA,내가 발이 될 상인가 #런닝맨,@박성욱-q5k,"지예은 요즘 폼 좋네
재밌었어요 이번주도 기대할께요 
Pd님 에스파 있지 섭외해주세요",1,2026-05-18T15:33:04Z
